,source,target,following,followed_by
0,47681517,19659370,False,False
0,47681517,3036907250,False,False
0,1909237502,18932422,False,False
0,1909237502,132646210,False,False
0,1909237502,15750573,False,False
0,1909237502,19659370,False,False
0,1909237502,3036907250,False,False
0,172260408,18932422,False,True
0,172260408,132646210,False,False
0,172260408,15750573,False,False
0,172260408,19659370,False,False
0,172260408,3036907250,False,False
0,49793,18932422,False,False
0,49793,132646210,False,True
0,49793,15750573,False,False
0,49793,19659370,False,True
0,49793,3036907250,False,False
0,2147987488,18932422,False,False
0,2147987488,132646210,False,False
0,2147987488,15750573,True,True
0,2147987488,19659370,False,False
0,2147987488,3036907250,False,False
0,8220532,18932422,False,True
0,8220532,132646210,False,False
0,8220532,15750573,False,False
0,8220532,19659370,False,True
0,8220532,3036907250,False,False
0,722242009,18932422,False,False
0,722242009,132646210,False,False
0,722242009,15750573,False,False
0,722242009,19659370,False,True
0,722242009,3036907250,False,False
0,3107826244,18932422,False,True
0,3107826244,132646210,False,False
0,3107826244,15750573,False,False
0,3107826244,19659370,False,True
0,3107826244,3036907250,False,False
0,1562518867,18932422,False,False
0,1562518867,132646210,False,False
0,1562518867,15750573,False,False
0,1562518867,19659370,False,True
0,1562518867,3036907250,False,False
0,789107706397196288,18932422,False,False
0,789107706397196288,132646210,True,False
0,789107706397196288,15750573,False,False
0,789107706397196288,19659370,False,False
0,789107706397196288,3036907250,False,False
0,854581958,18932422,False,False
0,854581958,132646210,False,False
0,854581958,15750573,False,False
0,854581958,19659370,False,True
0,854581958,3036907250,False,True
0,1728885823,18932422,False,False
0,1728885823,132646210,False,False
0,1728885823,15750573,True,False
0,1728885823,19659370,False,False
0,1728885823,3036907250,False,False
0,49945724,18932422,True,False
0,49945724,132646210,False,False
0,49945724,15750573,False,False
0,49945724,19659370,False,False
0,49945724,3036907250,False,False
0,3207393315,18932422,False,False
0,3207393315,132646210,False,False
0,3207393315,15750573,False,False
0,3207393315,19659370,False,True
0,3207393315,3036907250,False,False
0,1580058000,18932422,False,False
0,1580058000,132646210,False,False
0,1580058000,15750573,False,False
0,1580058000,19659370,False,True
0,1580058000,3036907250,False,False
0,16976496,18932422,False,True
0,16976496,132646210,False,False
0,16976496,15750573,False,False
0,16976496,19659370,False,True
0,16976496,3036907250,False,False
0,3201975988,18932422,False,False
0,3201975988,132646210,False,False
0,3201975988,15750573,False,False
0,3201975988,19659370,False,False
0,3201975988,3036907250,True,False
0,28776166,18932422,False,True
0,28776166,132646210,True,False
0,28776166,15750573,False,False
0,28776166,19659370,False,False
0,28776166,3036907250,False,False
0,11892372,18932422,True,True
0,11892372,132646210,False,True
0,11892372,15750573,False,False
0,11892372,19659370,True,True
0,11892372,3036907250,False,True
0,263247974,18932422,False,False
0,263247974,132646210,True,False
0,263247974,15750573,False,False
0,263247974,19659370,False,False
0,263247974,3036907250,False,False
0,40930985,18932422,False,False
0,40930985,132646210,False,False
0,40930985,15750573,False,False
0,40930985,19659370,False,False
0,40930985,3036907250,False,False
0,101764664,18932422,False,False
0,101764664,132646210,False,False
0,101764664,15750573,False,False
0,101764664,19659370,True,False
0,101764664,3036907250,False,False
0,4208606734,18932422,False,False
0,4208606734,132646210,False,False
0,4208606734,15750573,False,False
0,4208606734,19659370,True,False
0,4208606734,3036907250,False,False
0,381187236,18932422,False,False
0,381187236,132646210,False,False
0,381187236,15750573,False,False
0,381187236,19659370,False,False
0,381187236,3036907250,False,True
0,216703645,18932422,True,True
0,216703645,132646210,False,False
0,216703645,15750573,False,False
0,216703645,19659370,False,False
0,216703645,3036907250,False,False
0,127894322,18932422,True,True
0,127894322,132646210,True,True
0,127894322,15750573,False,False
0,127894322,19659370,False,True
0,127894322,3036907250,False,True
0,944810996,18932422,False,False
0,944810996,132646210,False,False
0,944810996,15750573,False,False
0,944810996,19659370,False,True
0,944810996,3036907250,False,False
0,36659063,18932422,False,False
0,36659063,132646210,True,True
0,36659063,15750573,False,False
0,36659063,19659370,False,False
0,36659063,3036907250,False,False
0,2895307672,18932422,False,False
0,2895307672,132646210,False,False
0,2895307672,15750573,True,False
0,2895307672,19659370,False,False
0,2895307672,3036907250,False,False
0,539296619,18932422,False,False
0,539296619,132646210,False,False
0,539296619,15750573,False,False
0,539296619,19659370,False,True
0,539296619,3036907250,False,False
0,1197369638,18932422,False,False
0,1197369638,132646210,False,False
0,1197369638,15750573,False,False
